temp,windspeed,feel_temp,clothe,result
28,9,30.1,2,
4,15,0.5,5,
36,14,39.9,2,
-14,8,-19.2,2,
39,4,42.5,3,
-17,12,-24.4,2,
10,9,8.8,1,
-19,14,-27.5,4,
3,18,-1.2,5,
19,9,19.5,4,
21,18,21.3,4,
-17,10,-23.6,4,
23,5,24.5,1,
2,3,1.8,5,
-16,15,-24.1,3,
36,11,39.8,2,
38,5,41.5,1,
-19,4,-22.3,5,
34,6,37.1,2,
-11,16,-18.2,4,
22,9,23,2,
-1,7,-3.6,3,
3,16,-0.9,2,
-2,20,-7.8,2,
36,13,39.9,1,
-12,1,-10.5,1,
4,20,-0.2,5,
36,8,39.5,1,
6,12,3.5,4,
40,5,43.8,1,
5,4,4.5,3,
40,6,44,5,
20,17,20.1,2,
19,2,20.6,5,
5,19,1.2,3,
0,2,0.4,5,
7,15,4.2,3,
29,6,31.3,5,
-20,0,0.7,3,
3,4,2.3,2,
22,15,22.7,3,
28,12,30.1,1,
37,16,41.3,4,
-9,5,-11.8,4,
-8,4,-10,3,
26,9,27.8,1,
1,20,-4,5,
-15,10,-21.2,1,
39,13,43.5,1,
3,4,2.3,2,
3,5,1.8,2,
30,18,32.6,1,
32,7,34.8,2,
-2,3,-2.6,5,
5,13,2.1,1,
28,2,30.2,1,
40,20,45.2,5,
38,12,42.2,3,
21,16,21.4,5,
-10,13,-16.2,4,
10,17,7.7,5,
-11,8,-15.7,3,
37,19,41.4,3,
5,19,1.2,1,
